Date,FX Vol,VIX,IG Spreads (US),Z FX Vol,Z VIX,Z IG Spreads,SPX
8/14/2000,10.95,17.88,163,0.359911095,-0.196171017,0.041268352,1491.56
8/15/2000,11.0125,17.98,162,0.382587728,-0.184682076,0.029635309,1484.43
8/16/2000,10.9,18.02,163,0.341769789,-0.180086499,0.041268352,1479.85
8/17/2000,10.575,17.48,164,0.223851299,-0.242126784,0.052901395,1496.07
8/18/2000,10.525,17.05,163,0.205709993,-0.291529233,0.041268352,1491.72
8/21/2000,10.525,17.35,164,0.205709993,-0.257062408,0.052901395,1499.48
8/22/2000,10.9625,17.47,164,0.364446422,-0.243275678,0.052901395,1498.13
8/23/2000,11.7,17.38,164,0.632030688,-0.253615726,0.052901395,1505.97
8/24/2000,11.0125,17.04,163,0.382587728,-0.292678127,0.041268352,1508.31
8/25/2000,10.725,16.53,162,0.278275218,-0.35127173,0.029635309,1506.45
8/28/2000,11.175,16.54,162,0.441546973,-0.350122835,0.029635309,1514.09
8/29/2000,11.5,16.89,163,0.559465463,-0.30991154,0.041268352,1509.84
8/30/2000,11.5625,17.69,164,0.582142096,-0.218000006,0.052901395,1502.59
8/31/2000,11.5,16.84,165,0.559465463,-0.31565601,0.064534438,1517.68
9/1/2000,11.3,17.53,165,0.486900238,-0.236382313,0.064534438,1520.77
9/5/2000,12.125,19.82,164,0.78623179,0.026714451,0.052901395,1507.08
9/6/2000,12.85,20.79,165,1.049280729,0.138157184,0.064534438,1492.25
9/7/2000,13.325,19.42,165,1.221623137,-0.019241316,0.064534438,1502.51
9/8/2000,12.875,18.46,165,1.058351382,-0.129535156,0.064534438,1494.5
9/11/2000,13.0375,18.4,164,1.117310627,-0.136428521,0.052901395,1489.26
9/12/2000,12.725,18.59,164,1.003927464,-0.114599532,0.052901395,1481.99
9/13/2000,12.075,18.32,164,0.768090484,-0.145619674,0.052901395,1484.91
9/14/2000,11.925,18.26,162,0.713666565,-0.152513039,0.029635309,1480.87
9/15/2000,11.575,18.52,162,0.586677422,-0.122641791,0.029635309,1465.81
9/18/2000,12.425,20.25,162,0.895079627,0.0761169,0.029635309,1444.51
9/19/2000,12.5,19.54,161,0.922291586,-0.005454586,0.018002266,1459.9
9/20/2000,12.925,19.93,161,1.076492688,0.039352286,0.018002266,1451.34
9/21/2000,12.7,20.18,161,0.994856811,0.06807464,0.018002266,1449.05
9/22/2000,13.175,20.74,161,1.167199219,0.132412714,0.018002266,1448.72
9/25/2000,12.525,21.41,160,0.931362239,0.209388623,0.006369223,1439.03
9/26/2000,12.7125,21.88,159,0.999392137,0.263386648,-0.00526382,1427.21
9/27/2000,12.325,21.67,160,0.858797014,0.239259871,0.006369223,1426.57
9/28/2000,12.3,19.47,161,0.849726361,-0.013496845,0.018002266,1458.29
9/29/2000,11.1125,20.57,161,0.41887034,0.112881513,0.018002266,1436.51
10/2/2000,11,21.23,162,0.378052401,0.188708528,0.029635309,1436.23
10/3/2000,10.925,21.85,165,0.350840442,0.259939966,0.064534438,1426.46
10/4/2000,10.825,21.54,166,0.31455783,0.224324247,0.076167481,1434.32
10/5/2000,10.5,21.03,167,0.19663934,0.165730644,0.087800524,1436.28
10/6/2000,10.45,22.71,167,0.178498034,0.358744864,0.087800524,1408.99
10/9/2000,10.3875,24.02,172,0.155821401,0.509249999,0.14596574,1402.03
10/10/2000,10.95,24.86,173,0.359911095,0.605757109,0.157598783,1387.02
10/11/2000,11.2875,26.57,176,0.482364912,0.802218011,0.192497912,1364.59
10/12/2000,11.7375,30.51,180,0.645636667,1.254882312,0.239030084,1329.78
10/13/2000,11.6,27.6,179,0.595748075,0.92055411,0.227397041,1374.17
10/16/2000,11.925,26.79,183,0.713666565,0.827493683,0.273929213,1374.62
10/17/2000,11.9,27.84,185,0.704595912,0.94812757,0.297195299,1349.97
10/18/2000,12.8625,28.72,184,1.053816056,1.049230257,0.285562256,1342.13
10/19/2000,12.6875,25.09,183,0.990321484,0.632181675,0.273929213,1388.76
10/20/2000,12.175,24.24,184,0.804373096,0.534525671,0.285562256,1396.93
10/23/2000,12.25,24.69,181,0.831585055,0.586225908,0.250663127,1395.78
10/24/2000,12.275,24.28,181,0.840655708,0.539121248,0.250663127,1398.13
10/25/2000,12.725,26.65,182,1.003927464,0.811409165,0.26229617,1364.9
10/26/2000,12.625,28.62,181,0.967644851,1.037741315,0.250663127,1364.44
10/27/2000,12.575,26.47,181,0.949503545,0.79072907,0.250663127,1379.58
10/30/2000,12.4375,25.46,182,0.899614953,0.674690759,0.26229617,1398.66
10/31/2000,12.325,23.63,182,0.858797014,0.464443127,0.26229617,1429.4
11/1/2000,12.425,24.28,181,0.895079627,0.539121248,0.250663127,1421.22
11/2/2000,12.1375,23.92,179,0.790767116,0.497761058,0.227397041,1428.32
11/3/2000,12.55,23.67,179,0.940432892,0.469038704,0.227397041,1426.69
11/6/2000,12.8625,24.52,178,1.053816056,0.566694708,0.215763998,1432.19
11/7/2000,12.825,24.91,177,1.040210076,0.61150158,0.204130955,1431.87
11/8/2000,12.475,25.66,177,0.913220933,0.697668642,0.204130955,1409.28
11/9/2000,12.425,27.2,178,0.895079627,0.874598344,0.215763998,1400.14
11/10/2000,11.85,28.53,179,0.686454606,1.027401268,0.227397041,1365.98
11/13/2000,11.775,29.06,179,0.659242647,1.088292658,0.227397041,1351.26
11/14/2000,11.575,26.81,183,0.586677422,0.829791471,0.273929213,1382.95
11/15/2000,11.3875,26.15,184,0.518647524,0.753964456,0.285562256,1389.81
11/16/2000,10.75,25.05,186,0.287345871,0.627586098,0.308828342,1372.32
11/17/2000,10.4875,24.81,192,0.192104013,0.600012638,0.378626601,1367.72
